Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
7,R-055.1,560532,2015,Chevrolet,Corvette,3LT,"",62397,No,"",2026-08-13,R
23,R-055.2,559192,2018,Nissan,Rogue,S,GRAY,98858,No,"",2026-08-13,R
39,R-067,558564,2021,Toyota,Highlander,HYBRID XL,SILVER,86810,Yes,3.9,2026-08-13,R
40,R-075,545028,2023,Ford,F150,XLT,GRAY,25941,Yes,4.4,2026-08-13,R
58,R-076,554733,2017,Dodge,Journey,CROSSROAD PL,GRAY,119003,Yes,2.2,2026-08-13,R
53,R-078,552834,2021,Nissan,Altima,2.5 SR,GRAY,121064,Yes,1.3,2026-08-13,R
9,R-079,554138,2015,Volkswagen,Beetle,1.8T,"",130132,No,"",2026-08-13,R
46,R-080,559292,2018,Ford,F150,XL,SILVER,146908,Yes,2.3,2026-08-13,R
23,R-083,541548,2020,Ford,F150,XLT,RED,91489,No,"",2026-08-13,R
44,R-127,557126,2014,Ram,1500,Tradesman,WHITE,131476,Yes,2.0,2026-08-13,R
65,W-126,559116,2015,Scion,tC,2DR HB AUTO (GS),BLACK,213046,Yes,2.0,2026-08-13,W
44,W-167,556975,2016,Ram,1500,SLT,BLACK,119123,Yes,2.5,2026-08-13,W
55,W-174,557280,2015,Ford,Taurus,SEL,SILVER,157973,Yes,2.0,2026-08-13,W
