Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
16,A-0022,354440,2015,Honda,Odyssey,EX-L,BLUE,132873,No,"",2026-08-25,A
15,A-0024,354356,2017,Mercedes-Benz,GLA,GLA 250 SUV,WHITE,147813,No,"",2026-08-25,A
15,A-0029,354361,2008,Toyota,Tundra,Base 5.7L V8,RED,220060,No,"",2026-08-25,A
15,A-0031,354427,2014,BMW,X6,XDrive35i,BLACK,121722,No,"",2026-08-25,A
16,A-0036,354715,2017,Ford,Explorer,Platinum,BLUE,139063,No,"",2026-08-25,A
15,A-0051,354644,2019,Ram,1500,Big Horn/Lone Star,WHITE,141089,No,"",2026-08-25,A
16,A-0054,354335,2020,Honda,Accord,Sedan Sport,BLACK,195454,No,"",2026-08-25,A
15,A-0055,354336,2010,Hyundai,Santa Fe,SE,GREEN,133903,No,"",2026-08-25,A
16,A-0063,354573,2006,Kia,Spectra,EX,RED,193985,No,"",2026-08-25,A
15,A-0064,353939,2013,Volkswagen,Tiguan,S w/Sunroof,BLACK,114585,No,"",2026-08-25,A
15,B-0045,353708,2021,Ram,1500,Big Horn,BLACK,119325,No,"",2026-08-25,B
15,B-0048,354680,2017,Chevrolet,Malibu,LS,GRAY,138044,No,"",2026-08-25,B
15,B-0049,353711,2021,Subaru,Forester,CVT,BLACK,146792,No,"",2026-08-25,B
15,B-0051,354683,2021,Chevrolet,Camaro,1LT,BLUE,129492,No,"",2026-08-25,B
15,B-0053,354713,2016,Chrysler,200,Limited Platinum,RED,74126,No,"",2026-08-25,B
15,B-0054,354712,2017,Ford,F250SD,Lariat,WHITE,191187,No,"",2026-08-25,B
15,B-0083,354161,2020,Ram,2500,Tradesman,WHITE,105083,No,"",2026-08-25,B
40,FB-0002,353404,2023,Nissan,Rogue,SV,RED,70679,Yes,2.8,2026-08-25,FB
39,FB-0006,354311,2019,Chevrolet,Equinox,LT,SILVER,100871,Yes,2.6,2026-08-25,FB
37,FB-0007,354286,2020,Jeep,Compass,Limited,BLACK,119552,Yes,3.7,2026-08-25,FB
24,FB-0010,354016,2025,GMC,Sierra 2500,2500HD AT4,WHITE,18931,Yes,4.3,2026-08-25,FB
27,FB-0039,352405,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,15622,Yes,3.8,2026-08-25,FB
27,FB-0040,352320,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,16530,Yes,4.0,2026-08-25,FB
29,FB-0041,352319,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,16989,Yes,4.0,2026-08-25,FB
30,FB-0042,352218,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,18863,Yes,4.0,2026-08-25,FB
29,FB-0043,352290,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,18904,Yes,3.8,2026-08-25,FB
39,FC-0003,354456,2023,Dodge,Challenger,SXT,GRAY,33631,Yes,3.9,2026-08-25,FC
38,FC-0005,354452,2023,Ram,1500,Big Horn,BLUE,42161,Yes,4.3,2026-08-25,FC
32,FC-0038,353831,2023,Dodge,Challenger,R/T SCAT PACK,RED,47951,Yes,4.4,2026-08-25,FC
15,FC-0053,353910,2018,Ford,Expedition,XL,WHITE,120887,No,"",2026-08-25,FC
33,S-0005,353793,2022,FREEDOM TRAILERS,Freedom Trailers L,"",BLACK,999999,Yes,2.0,2026-08-25,S
31,S-0018,353294,2010,Ford,WINDSPORT SERIES M-34B,M-34B,WHITE,41478,Yes,1.0,2026-08-25,S
38,S-0019,354244,2001,Ford,Super Duty F-550 Motorhome,Fleetwood RV Flair,WHITE,42640,Yes,3.0,2026-08-25,S
13,S-0021,353864,2020,Landmaster,Landstar 550,550,GREEN,999999,Yes,1.0,2026-08-25,S
40,S-0022,352615,2016,Coachman,Concord,300ts,GOLD,23917,Yes,2.0,2026-08-25,S
35,S-0023,353635,2008,International,Supernova 300TS,300TS,BROWN,45707,Yes,1.0,2026-08-25,S
27,S-0027,353230,2022,Keysto,285 CK,"",WHITE,999999,Yes,2.1,2026-08-25,S
27,S-0029,354072,2022,DUTCHM,Kodak ultimate 3371FLSL,3371FLSL,WHITE,999999,Yes,2.0,2026-08-25,S
29,S-0032,352087,2013,HEARTL,3010RE,"",WHITE,999999,Yes,"",2026-08-25,S
20,S-0035,353930,2012,Dutchmen,Infinity,3750FL,BROWN,999999,Yes,1.0,2026-08-25,S
9,S-0036,353947,2011,Forest,Xlr thunderbolt,"",WHITE,999999,No,"",2026-08-25,S
7,S-0044,353972,2006,Club,Cart,"",RED,999999,No,"",2026-08-25,S
