Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
25,BB-0242,258332,2017,Acura,ILX,Sedan,BLACK,108510,Yes,2.8,2026-07-30,BB,8800.0
29,A-0019,119826,2018,Acura,RDX,w/Technology Pkg,SILVER,126280,Yes,3.7,2026-07-30,A,10000.0
25,AA-0255,258334,2017,Acura,RDX,w/Advance Pkg,WHITE,75103,Yes,3.7,2026-07-30,AA,11000.0
28,AA-0018,257923,2007,Acura,RL,Tech Pkg,BLUE,155142,Yes,2.9,2026-07-30,AA,1100.0
34,D-0502,258318,2015,Acura,TLX,V6 Tech,GRAY,163113,Yes,2.5,2026-07-30,D,4600.0
28,BB-0053,257988,2016,Audi,A3,1.8T Premium,BLACK,118566,Yes,3.0,2026-07-30,BB,3000.0
23,BB-0058,258014,2016,Audi,A3,2.0T Premium,BLACK,57502,Yes,4.1,2026-07-30,BB,5600.0
34,BB-0250,258380,2014,Audi,A4,Premium Plus,WHITE,156008,Yes,2.0,2026-07-30,BB,1500.0
35,AA-0148,258104,2007,Audi,A4,2.0T,SILVER,117590,Yes,2.2,2026-07-30,AA,600.0
24,BB-0202,258112,2007,Audi,A4,2.0T,WHITE,81934,Yes,3.8,2026-07-30,BB,1700.0
25,BB-0224,258296,2018,Audi,A6,Premium,BLACK,72799,Yes,3.9,2026-07-30,BB,11000.0
24,BB-0103,257734,2019,Audi,A8,L 55 TFSI quattro,BLACK,106547,Yes,4.0,2026-07-30,BB,17200.0
33,C-0056,258245,2018,Audi,Q5,Premium Plus,BLACK,89662,Yes,3.0,2026-07-30,C,8800.0
31,AA-0136,258087,2009,Audi,Q5,Premium,SILVER,96768,Yes,3.4,2026-07-30,AA,1700.0
26,AA-0191,257944,2017,Audi,Q7,Premium Plus,GRAY,95408,Yes,3.7,2026-07-30,AA,9000.0
37,BB-0172,258133,2015,Audi,Q7,3.0T Premium Plus,BLUE,69891,Yes,2.1,2026-07-30,BB,4400.0
24,BB-0212,258199,2018,Audi,S4,Prestige,BLUE,119649,Yes,4.2,2026-07-30,BB,12400.0
28,D-0050,258328,2012,Audi,S5,Premium Plus,SILVER,130164,Yes,2.7,2026-07-30,D,4400.0
29,BB-0174,258159,2019,Audi,SQ5,Premium Plus,BLACK,106983,Yes,3.6,2026-07-30,BB,14000.0
28,BB-0222,258264,2013,Bentley,Continental,GT V8 2dr Conv,BLACK,27182,Yes,2.7,2026-07-30,BB,44500.0
25,BB-0227,258280,2022,BMW,2-Series,M235i xDrive,BLACK,58826,Yes,3.8,2026-07-30,BB,22600.0
30,BB-0135,258018,2020,BMW,3-Series,330i,BLUE,66234,Yes,3.7,2026-07-30,BB,15400.0
20,AA-0077,258028,2016,BMW,3-Series,328i xDrive,BLUE,100516,Yes,3.1,2026-07-30,AA,2600.0
