Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
54,R-001,563943,2007,Honda,Ridgeline,"",GRAY,198506,Yes,1.3,2026-08-18,R
32,R-002,565235,2019,Lincoln,MKC,STANDARD,WHITE,84743,Yes,4.5,2026-08-18,R
56,R-002,563941,2017,Subaru,Outback,TOURING,BLACK,208444,Yes,1.5,2026-08-18,R
31,R-003,563947,2006,Ford,F450SD,"",WHITE,236860,Yes,3.0,2026-08-18,R
1,R-003,565422,2010,Mazda,Mazda6,S TOURING PLU,SILVER,208738,No,"",2026-08-18,R
1,R-004,565541,2009,Nissan,Murano,SL,GRAY,0,No,"",2026-08-18,R
39,R-005,565548,2016,Honda,Pilot,EX,GRAY,117798,Yes,3.6,2026-08-18,R
38,R-006,565550,2015,Acura,RDX,4DR,WHITE,139101,Yes,4.1,2026-08-18,R
1,R-007,565565,2014,Ford,Escape,SE,BLUE,0,No,"",2026-08-18,R
40,R-008,565648,2015,Subaru,Impreza,WAGON 2.0I,GRAY,130160,Yes,3.9,2026-08-18,R
36,R-009,565682,2012,Ford,Fiesta,S,GRAY,41263,Yes,2.7,2026-08-18,R
49,R-010,565719,2013,Ford,Explorer,XLT,BLACK,182010,Yes,1.7,2026-08-18,R
