Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
25,V-0005,1183709,2014,BMW,X1,XDrive28i,SILVER,147510,Yes,2.3,2026-08-11,V,1100.0
22,V-0003,1184373,2017,Chevrolet,Silverado 1500,LT,SILVER,143510,Yes,4.5,2026-08-11,V,11400.0
25,V-0001,1183484,2024,Ford,T150 Vans,"T-150 130"" Low Rf 8670 GVWR",WHITE,47614,Yes,3.8,2026-08-11,V,23800.0
6,OB-0001,1184972,2003,Honda,Civic,Hybrid,GOLD,1,No,"",2026-08-11,OB,400.0
29,V-0002,1184765,2021,Jeep,Compass,Latitude,BLUE,25770,Yes,4.6,2026-08-11,V,15000.0
10,V-0006,1185098,2013,Mercedes-Benz,C Class,C 250,SILVER,150731,No,"",2026-08-11,V,700.0
25,V-0004,1180341,2020,Ram,1500 DS,Tradesman,WHITE,108220,Yes,3.8,2026-08-11,V,14800.0
