Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
16,TR-0001,731182,2023,Road king,Trailer,"",SILVER,1,Yes,3.0,2026-08-12,TR,1.0
15,C-0015,28810,2008,Saturn,VUE,XE,GRAY,129266,Yes,"",2026-08-12,C,1000.0
20,B-0016,28860,2019,Subaru,Ascent,Premium,WHITE,136921,Yes,4.0,2026-08-12,B,7700.0
15,A-0016,28818,2025,Toyota,Camry,SE,WHITE,19724,Yes,"",2026-08-12,A,26000.0
17,A-0030,28775,2025,Toyota,Camry,SE,BLACK,36369,Yes,4.6,2026-08-12,A,24200.0
21,C-0006,731025,2019,Toyota,Camry,LE,WHITE,134715,Yes,2.9,2026-08-12,C,8000.0
20,A-0034,29001,2019,Toyota,Camry,SE,WHITE,71246,Yes,4.3,2026-08-12,A,15400.0
15,B-0018,28856,2006,Toyota,Camry,XLE V6,WHITE,68208,Yes,"",2026-08-12,B,2300.0
16,C-0024,28695,1995,Toyota,Camry,LE,GREEN,167025,No,"",2026-08-12,C,600.0
15,D-0008,731873,2010,Toyota,Corolla,LE,SILVER,84570,Yes,"",2026-08-12,D,3100.0
16,C-0021,731519,2007,Toyota,Corolla,CE,OTHER,115271,Yes,"",2026-08-12,C,2700.0
26,A-0007,28992,2015,Toyota,RAV4,LE,GRAY,34484,Yes,3.7,2026-08-12,A,13100.0
28,A-0014,28859,2010,Toyota,RAV4,Limited V6,BLUE,227666,Yes,2.7,2026-08-12,A,3200.0
34,B-0008,28766,2008,Toyota,Sequoia,SR5 5.7L V8,BLACK,130251,Yes,2.8,2026-08-12,B,2300.0
15,D-0013,28789,2013,Toyota,Tundra,Platinum 5.7L V8,BLACK,179920,Yes,"",2026-08-12,D,9000.0
16,C-0016,28747,2000,Volkswagen,Golf,GLS,BLACK,193488,Yes,"",2026-08-12,C,600.0
15,A-0066,28802,2015,Volkswagen,Passat,1.8T SE,WHITE,94491,Yes,"",2026-08-12,A,3000.0
25,B-0001,28907,2019,Volkswagen,Tiguan,S,BLACK,80878,Yes,4.1,2026-08-12,B,7600.0
22,A-0047,28871,2013,Volkswagen,Tiguan,SE,BLACK,94845,Yes,3.8,2026-08-12,A,3100.0
17,S-0005,27333,2009,Volvo,XC90,I6,BLACK,173819,Yes,"",2026-08-12,S,800.0
