Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
25,M-001,64388,2025,GMC,Sierra 1500,SLT,WHITE,47464,Yes,4.9,2026-08-05,M,37900.0
23,M-008,64275,2025,Jeep,Compass,LIMITED,BLACK,33381,Yes,4.8,2026-08-05,M,20100.0
24,M-003,64285,2023,Jeep,Renegade,Latitude,WHITE,59961,Yes,4.7,2026-08-05,M,15900.0
24,M-002,64239,2024,Jeep,Wagoneer L,SERIES II,SILVER,64487,Yes,4.9,2026-08-05,M,28400.0
29,M-004,64367,2024,Mazda,CX-5,2.5 S CARBON ED,GRAY,55650,Yes,4.3,2026-08-05,M,22100.0
24,M-007,64359,2025,Nissan,Altima,SV,WHITE,28324,Yes,4.5,2026-08-05,M,19000.0
23,M-006,63917,2025,Nissan,Rogue,SV,SILVER,54217,Yes,4.8,2026-08-05,M,17100.0
22,M-005,64294,2024,Nissan,Rogue,SV,SILVER,51859,Yes,4.8,2026-08-05,M,16600.0
30,M-009,64489,2025,Nissan,Sentra,SV,WHITE,33202,Yes,4.3,2026-08-05,M,16700.0
28,M-010,64446,2025,Nissan,Sentra,SV,WHITE,28256,Yes,4.4,2026-08-05,M,17500.0
27,P-001,64390,2024,Volkswagen,Tiguan,SE,WHITE,52094,Yes,4.5,2026-08-05,P,19600.0
