Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
0,O-004,172054,2022,Acura,ILX,W/PREMIUM PACKAG,GRAY,48118,No,"",2026-07-22,O,19800.0
30,C-183,172590,2022,Acura,ILX,W/PREMIUM PACKAG,GRAY,31307,Yes,4.1,2026-07-22,C,21200.0
7,D-020,172086,2019,Acura,ILX,SEDAN,BLACK,136538,No,"",2026-07-22,D,6800.0
8,C-369,172521,2019,Acura,ILX,W/PREMIUM/A-SPEC,WHITE,90448,No,"",2026-07-22,C,13800.0
0,O-013,173085,2025,Acura,Integra,W/A-SPEC PAC,BLACK,29783,No,"",2026-07-22,O,26800.0
0,O-014,173086,2025,Acura,Integra,W/A-SPEC PAC,WHITE,19700,No,"",2026-07-22,O,28500.0
26,C-404,172272,2024,Acura,Integra,CVT,RED,15231,Yes,4.6,2026-07-22,C,23000.0
9,B-420,173374,2024,Acura,Integra,CVT,WHITE,25379,No,"",2026-07-22,B,22000.0
36,D-056,172068,2023,Acura,Integra,W/A-SPEC PAC,BLUE,20158,Yes,3.7,2026-07-22,D,23600.0
29,D-057,172070,2026,Acura,MDX,W/TECHNOLOGY PAC,WHITE,3739,Yes,4.0,2026-07-22,D,41500.0
28,B-161.8,173114,2025,Acura,MDX,"",SILVER,30515,Yes,"",2026-07-22,B,37600.0
31,C-172,172165,2025,Acura,MDX,"",GRAY,15545,Yes,4.6,2026-07-22,C,40600.0
25,D-071,171920,2024,Acura,MDX,"",GRAY,25117,Yes,"",2026-07-22,D,32800.0
28,C-177,172170,2024,Acura,MDX,"",WHITE,33284,Yes,4.7,2026-07-22,C,35800.0
28,C-165,170870,2024,Acura,MDX,W/TECHNOLOGY PAC,BLACK,15323,Yes,4.7,2026-07-22,C,39400.0
29,C-176,172167,2024,Acura,MDX,W/TECHNOLOGY PAC,WHITE,29996,Yes,2.3,2026-07-22,C,34200.0
30,C-168,172175,2024,Acura,MDX,W/TECHNOLOGY PAC,WHITE,26668,Yes,4.6,2026-07-22,C,40200.0
29,C-162,170837,2024,Acura,MDX,W/TECHNOLOGY PAC,GRAY,42864,Yes,4.5,2026-07-22,C,36600.0
33,D-129,172902,2024,Acura,MDX,W/TECHNOLOGY PAC,SILVER,28615,Yes,4.6,2026-07-22,D,39000.0
