Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
21,D-0154,92945,2017,Acura,MDX,w/Technology Pkg,GRAY,96869,Yes,3.7,2026-07-29,D,12900.0
16,B-0019,92598,2010,Acura,TL,4dr Sdn,BLUE,140068,No,"",2026-07-29,B,3000.0
16,C-0081,91016,2019,Audi,A4,Premium,BLACK,56460,Yes,4.8,2026-07-29,C,12800.0
16,C-0142,92864,2018,Audi,A4,Premium Plus,BLACK,79249,No,"",2026-07-29,C,11200.0
18,D-0054,89092,2013,Audi,Q7,3.0T S line Prestige,WHITE,86644,Yes,2.6,2026-07-29,D,4400.0
23,D-0069,91025,2012,BMW,1-Series,135i,WHITE,119656,Yes,4.4,2026-07-29,D,2000.0
17,A-0129,92882,2013,BMW,3-Series,328i,BLUE,150785,No,"",2026-07-29,A,1600.0
16,B-0135,91529,2013,BMW,3-Series,328i,BLACK,141703,No,"",2026-07-29,B,1900.0
16,B-0115,92690,2006,BMW,3-Series,325xi,BLACK,264275,No,"",2026-07-29,B,600.0
22,D-0038,92826,2016,BMW,5-Series,550i,BLACK,112961,Yes,3.9,2026-07-29,D,9600.0
16,A-0121,92800,2015,BMW,5-Series,550i,WHITE,168947,No,"",2026-07-29,A,4800.0
17,C-0130,92608,2015,BMW,X1,XDrive28i,BLACK,104458,No,"",2026-07-29,C,2200.0
16,B-0226,90887,2017,Buick,Cascada,Premium,BLACK,92029,No,"",2026-07-29,B,5600.0
15,B-0040,92846,2016,Buick,Cascada,Premium,BLACK,64308,No,"",2026-07-29,B,8400.0
18,C-0115,92606,2021,Buick,Enclave,Avenir,WHITE,51667,Yes,4.4,2026-07-29,C,23000.0
20,C-0100,92860,2018,Buick,Enclave,Essence,WHITE,68067,Yes,4.1,2026-07-29,C,13700.0
16,B-0069,92627,2015,Buick,Encore,Convenience,RED,78391,No,"",2026-07-29,B,8000.0
17,A-0159,92984,2016,Buick,Regal,Premium II,BLACK,128582,No,"",2026-07-29,A,2600.0
19,I-0008,91953,2011,Buick,Regal,CXL RL3,WHITE,129062,No,"",2026-07-29,I,500.0
16,B-0161,92150,2013,Cadillac,ATS,Luxury,BLACK,121392,No,"",2026-07-29,B,2000.0
20,D-0084,90419,2001,Cadillac,DeVille,4dr Sdn,WHITE,137130,Yes,3.1,2026-07-29,D,800.0
22,D-0250,87926,2023,Cadillac,Escalade,ESV Premium Luxury,BLACK,38328,Yes,4.5,2026-07-29,D,63000.0
16,D-0140,91720,2015,Cadillac,SRX,Luxury Collection,WHITE,110122,No,"",2026-07-29,D,3800.0
16,B-0068,92622,2010,Cadillac,SRX,Luxury Collection,WHITE,193392,No,"",2026-07-29,B,1000.0
16,C-0136,92862,2019,Cadillac,XT5,Base,SILVER,125489,Yes,3.8,2026-07-29,C,8200.0
26,D-0011,91586,2013,Cadillac,XTS,Luxury,SILVER,150239,Yes,3.3,2026-07-29,D,2500.0
16,B-0166,92937,2006,Chevrolet,Avalanche,Z66,BLUE,286626,No,"",2026-07-29,B,1700.0
16,C-0159,92575,2005,Chevrolet,Avalanche,Z71,RED,180139,No,"",2026-07-29,C,2800.0
16,B-0160,92926,2011,Chevrolet,Aveo,LT w/1LT,WHITE,59974,No,"",2026-07-29,B,1000.0
23,D-0045,88545,2024,Chevrolet,Blazer,LT,WHITE,30638,Yes,4.5,2026-07-29,D,26000.0
18,D-0062,87866,2026,Chevrolet,Colorado,Z71,RED,3122,Yes,4.9,2026-07-29,D,40600.0
17,C-0135,92866,2022,Chevrolet,Colorado,Z71,BLUE,58387,Yes,4.6,2026-07-29,C,26400.0
16,B-0224,90886,2016,Chevrolet,Colorado,Z71,GRAY,138024,No,"",2026-07-29,B,7600.0
15,C-0007,92316,2022,Chevrolet,Corvette,3LT,GRAY,59778,No,"",2026-07-29,C,52600.0
15,A-0103,92658,2005,Chevrolet,Corvette,2dr Cpe,SILVER,61285,No,"",2026-07-29,A,16200.0
19,C-0152,92536,2017,Chevrolet,Cruze,LT,WHITE,31947,Yes,3.7,2026-07-29,C,6600.0
15,B-0087,92903,2015,Chevrolet,Cruze,LT,WHITE,148326,No,"",2026-07-29,B,1400.0
16,C-0143,92679,2016,Chevrolet,Cruze Limited,LT,GRAY,148909,No,"",2026-07-29,C,1000.0
16,C-0138,92865,2020,Chevrolet,Equinox,LT,WHITE,125312,Yes,4.8,2026-07-29,C,7800.0
18,C-0035,92637,2018,Chevrolet,Equinox,LS,ORANGE,112513,Yes,3.8,2026-07-29,C,7200.0
18,C-0156,92573,2018,Chevrolet,Equinox,Premier,RED,52993,Yes,3.8,2026-07-29,C,12900.0
17,C-0041,92640,2017,Chevrolet,Equinox,LS,BLACK,77218,Yes,4.6,2026-07-29,C,7200.0
17,A-0125,92554,2016,Chevrolet,Equinox,LS,SILVER,108940,No,"",2026-07-29,A,1200.0
16,A-0084,92655,2015,Chevrolet,Equinox,LS,SILVER,167095,No,"",2026-07-29,A,2600.0
16,D-0109,92777,2014,Chevrolet,Equinox,LT,BLACK,140708,No,"",2026-07-29,D,900.0
16,D-0044,92943,2012,Chevrolet,Equinox,LT w/1LT,GOLD,211163,No,"",2026-07-29,D,700.0
17,B-0086,93006,2021,Chevrolet,Express,Passenger LS,WHITE,61252,No,"",2026-07-29,B,20600.0
16,D-0177,91615,2009,Chevrolet,HHR,SS,BLACK,165749,No,"",2026-07-29,D,1600.0
16,I-0007,91587,2016,Chevrolet,Impala,LT,SILVER,182190,No,"",2026-07-29,I,700.0
19,B-0148,92794,2014,Chevrolet,Impala,LT,SILVER,88695,Yes,4.4,2026-07-29,B,7400.0
27,D-0010,90715,2014,Chevrolet,Impala,LTZ,RED,172815,Yes,2.1,2026-07-29,D,2000.0
16,D-0130,92818,2010,Chevrolet,Impala,LS,RED,202181,No,"",2026-07-29,D,600.0
16,A-0001,91326,2020,Chevrolet,Malibu,LS,GRAY,173923,No,"",2026-07-29,A,2200.0
16,A-0002,92367,2020,Chevrolet,Malibu,LT,GRAY,130449,No,"",2026-07-29,A,3400.0
16,B-0157,91579,2019,Chevrolet,Malibu,LS,BLUE,57176,No,"",2026-07-29,B,7250.0
16,D-0141,92280,2019,Chevrolet,Malibu,LT,GRAY,70257,No,"",2026-07-29,D,4800.0
18,A-0149,92936,2016,Chevrolet,Malibu,LT,BROWN,134150,No,"",2026-07-29,A,1000.0
35,D-0059,78776,2016,Chevrolet,Malibu,LT,BLACK,153636,Yes,1.3,2026-07-29,D,1700.0
16,A-0157,92982,2016,Chevrolet,Malibu,LT,SILVER,165601,No,"",2026-07-29,A,1800.0
18,D-0032,92762,2021,Chevrolet,Silverado 1500,Custom,BLUE,106318,Yes,4.0,2026-07-29,D,15400.0
19,C-0154,92550,2019,Chevrolet,Silverado 1500,LT Trail Boss,GRAY,142287,Yes,4.3,2026-07-29,C,19500.0
18,A-0112,92774,2019,Chevrolet,Silverado 1500,RST,BLACK,79048,No,"",2026-07-29,A,26000.0
16,C-0160,92555,2018,Chevrolet,Silverado 1500,LTZ,BLACK,157671,No,"",2026-07-29,C,13400.0
16,A-0059,92521,2015,Chevrolet,Silverado 1500,LT,GRAY,122554,No,"",2026-07-29,A,8800.0
16,A-0102,92718,2005,Chevrolet,Silverado 1500,LS,RED,292732,No,"",2026-07-29,A,3000.0
19,C-0149,92530,2019,Chevrolet,Silverado 1500 LD,LT,BLACK,109549,Yes,3.6,2026-07-29,C,14800.0
18,C-0148,92523,2018,Chevrolet,Tahoe,LT,SILVER,97067,Yes,4.3,2026-07-29,C,20000.0
17,B-0017,92770,2018,Chevrolet,Tahoe,LT,SILVER,155855,No,"",2026-07-29,B,12000.0
16,B-0102,93031,2016,Chevrolet,Tahoe,LS,GOLD,199582,No,"",2026-07-29,B,5000.0
18,C-0051,93053,2015,Chevrolet,Tahoe,LT,WHITE,156445,No,"",2026-07-29,C,7500.0
17,C-0070,92902,2015,Chevrolet,Tahoe,LTZ,WHITE,159276,No,"",2026-07-29,C,10200.0
17,A-0146,92915,2005,Chevrolet,Tahoe,LT,BLACK,330256,No,"",2026-07-29,A,600.0
19,C-0094,91217,2021,Chevrolet,Trailblazer,LT,BLACK,131886,Yes,4.5,2026-07-29,C,6000.0
16,B-0024,92709,2003,Chevrolet,Trailblazer,LS,GREEN,146273,No,"",2026-07-29,B,700.0
16,A-0123,92820,2002,Chevrolet,Trailblazer,LT,GOLD,199355,No,"",2026-07-29,A,600.0
17,B-0026,92713,2019,Chevrolet,Traverse,LT Cloth,GRAY,82686,No,"",2026-07-29,B,11800.0
17,C-0001,92761,2016,Chevrolet,Traverse,LT,WHITE,137109,No,"",2026-07-29,C,5400.0
19,C-0139,92861,2015,Chevrolet,Traverse,LTZ,GRAY,122703,Yes,4.3,2026-07-29,C,7400.0
17,B-0132,92092,2012,Chevrolet,Traverse,LT w/2LT,WHITE,181509,No,"",2026-07-29,B,800.0
18,D-0027,92700,2017,Chevrolet,Volt,Premier,WHITE,107800,Yes,3.4,2026-07-29,D,3000.0
16,D-0025,92684,2011,Chrysler,200,Limited,BLUE,133245,No,"",2026-07-29,D,1400.0
16,A-0078,92569,2020,Chrysler,300,300S,BLACK,112156,No,"",2026-07-29,A,12800.0
15,B-0074,92929,2012,Chrysler,300,4dr Sdn V6,WHITE,176481,No,"",2026-07-29,B,2100.0
26,I-0104,90714,2012,Chrysler,300,Limited,BLACK,163812,Yes,2.9,2026-07-29,I,600.0
17,DX-0044,92963,2018,Chrysler,Pacifica,Touring L,GRAY,117771,No,"",2026-07-29,DX,6400.0
17,B-0139,90192,2015,Chrysler,Town & Country,Touring,WHITE,129328,No,"",2026-07-29,B,1800.0
17,A-0074,92553,2014,Chrysler,Town & Country,Touring,WHITE,145168,No,"",2026-07-29,A,2600.0
15,BX-0026,93036,2014,Dodge,Avenger,SXT,WHITE,145328,No,"",2026-07-29,BX,700.0
18,B-0050,92674,2011,Dodge,Avenger,Express,RED,160127,No,"",2026-07-29,B,1200.0
16,A-0081,92559,2022,Dodge,Challenger,GT,WHITE,40884,No,"",2026-07-29,A,21800.0
16,D-0028,92752,2015,Dodge,Challenger,SXT Plus,BLUE,135896,No,"",2026-07-29,D,7800.0
16,C-0174,91843,2014,Dodge,Charger,SE,SILVER,145739,No,"",2026-07-29,C,1800.0
16,B-0041,92852,2015,Dodge,Dart,SXT,BLACK,147732,No,"",2026-07-29,B,1200.0
17,D-0176,92317,2017,Dodge,Durango,GT,WHITE,139379,No,"",2026-07-29,D,7000.0
17,D-0143,91453,2017,Dodge,Durango,SXT,RED,116613,No,"",2026-07-29,D,3800.0
17,A-0184,92773,2013,Dodge,Durango,R/T,WHITE,169694,No,"",2026-07-29,A,3400.0
17,B-0190,92682,2013,Dodge,Durango,SXT,BLACK,211770,No,"",2026-07-29,B,1300.0
20,A-0109,92735,2005,Dodge,Durango,Limited,SILVER,232312,No,"",2026-07-29,A,600.0
17,A-0053,92406,2005,Dodge,Durango,Limited,TAN,322605,No,"",2026-07-29,A,600.0
16,A-0104,92557,2001,Dodge,Durango,4dr,BLUE,165375,No,"",2026-07-29,A,600.0
17,B-0042,92850,2016,Dodge,Grand Caravan,R/T,WHITE,173421,No,"",2026-07-29,B,1300.0
17,C-0117,92581,2012,Dodge,Grand Caravan,SE,TAN,103812,No,"",2026-07-29,C,2600.0
16,A-0126,92872,2016,Dodge,Journey,SE,GRAY,140024,No,"",2026-07-29,A,1200.0
17,A-0160,92995,2016,Dodge,Journey,SXT,WHITE,175713,No,"",2026-07-29,A,700.0
34,D-0003,89329,2009,Dodge,Ram 1500,Laramie,GRAY,197665,Yes,2.2,2026-07-29,D,2400.0
16,B-0185,92203,2009,Dodge,Ram 1500,SLT,WHITE,191869,No,"",2026-07-29,B,2400.0
19,B-0165,89499,2007,Dodge,Ram 1500,SLT,BLACK,284279,No,"",2026-07-29,B,900.0
16,C-0085,92372,2005,Dodge,Ram 1500,SLT,BLUE,144105,No,"",2026-07-29,C,1800.0
16,B-0169,92541,2003,Dodge,Ram 1500,ST,ORANGE,218051,No,"",2026-07-29,B,900.0
16,D-0064,84755,2024,Ford,Bronco Sport,Big Bend,BLUE,18123,Yes,4.9,2026-07-29,D,23000.0
17,B-0056,92746,2023,Ford,Bronco Sport,Badlands,GRAY,45750,Yes,4.6,2026-07-29,B,23000.0
18,B-0018,92599,2021,Ford,Bronco Sport,Outer Banks,WHITE,90705,Yes,3.0,2026-07-29,B,13000.0
16,A-0034,91408,2020,Ford,Edge,Titanium,GRAY,108500,No,"",2026-07-29,A,6800.0
18,B-0145,93023,2013,Ford,Edge,Limited,BLACK,171314,No,"",2026-07-29,B,1200.0
16,B-0062,91858,2012,Ford,Edge,SEL,WHITE,203445,No,"",2026-07-29,B,1100.0
16,B-0187,92705,2008,Ford,Edge,Limited,RED,243113,No,"",2026-07-29,B,600.0
20,I-0014,92971,2019,Ford,Escape,SE,BLUE,1,No,"",2026-07-29,I,1200.0
20,A-0148,92919,2016,Ford,Escape,S,BLACK,147403,No,"",2026-07-29,A,600.0
16,B-0189,92683,2013,Ford,Escape,SEL,GRAY,200008,No,"",2026-07-29,B,800.0
17,C-0125,92607,2021,Ford,Expedition,Limited,WHITE,54598,Yes,5.0,2026-07-29,C,31800.0
15,A-0026,91458,2018,Ford,Expedition Max,Limited,BLACK,99652,No,"",2026-07-29,A,15200.0
17,B-0027,92714,2023,Ford,Explorer,Limited,BLACK,64225,No,"",2026-07-29,B,23750.0
16,B-0206,92807,2021,Ford,Explorer,XLT,BLACK,57008,Yes,4.8,2026-07-29,B,17800.0
17,C-0039,92639,2020,Ford,Explorer,XLT,WHITE,86111,Yes,4.0,2026-07-29,C,12400.0
17,B-0199,92197,2019,Ford,Explorer,Base,BLUE,168693,No,"",2026-07-29,B,3850.0
17,C-0113,92602,2017,Ford,Explorer,XLT,WHITE,154196,No,"",2026-07-29,C,4900.0
