Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
13,V-0002,1184982,2024,Chevrolet,Express,Passenger LT,WHITE,51076,No,"",2026-08-17,V,34200.0
12,YE-0002,1166664,1992,Dodge,Ram 150,"Sweptline 115"" WB",GRAY,136092,Yes,"",2026-08-17,YE,1700.0
13,YE-0001,1184596,2017,Kia,Optima,Hybrid Base,WHITE,131859,No,"",2026-08-17,YE,2600.0
0,YS-0001,1186096,2025,Nissan,Armada,PRO-4X,BLACK,19313,No,"",2026-08-17,YS,57100.0
13,V-0001,1185296,2014,Nissan,Pathfinder,SV,GRAY,93907,No,"",2026-08-17,V,2800.0
