Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
39,P-002,64082,2022,Chevrolet,Camaro,1SS,BLACK,12528,Yes,2.8,2026-07-30,P,34000.0
29,O-003,63990,2025,Chevrolet,Silverado 1500,LT,BLACK,48487,Yes,4.1,2026-07-30,O,30500.0
31,P-003,63880,2025,Ford,F150,XLT,GRAY,68,Yes,5.0,2026-07-30,P,38750.0
21,O-002,64190,2018,Ford,Fusion,HYBRID SE,BLACK,146930,No,"",2026-07-30,O,2700.0
28,O-001,63888,2024,GMC,Terrain,SLE,WHITE,52768,Yes,4.6,2026-07-30,O,18200.0
41,O-004,2025,2017,Honda,Accord,SEDAN EX,GRAY,123100,Yes,3.2,2026-07-30,O,8000.0
35,P-001,63988,2025,Nissan,Altima,SR,WHITE,53785,Yes,4.3,2026-07-30,P,18200.0
