Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
29,A-046,178065,2024,Land Rover,Range Rover,"",BLACK,33321,Yes,4.7,2026-08-19,A
30,A-104.1,178780,2025,Ford,Explorer,ST-Line,BLACK,37632,Yes,4.6,2026-08-19,A
26,A-104.8,178805,2025,Land Rover,Range Rover Sport,"",BLACK,29797,Yes,4.6,2026-08-19,A
31,A-105.1,178806,2025,Dodge,Durango,GT,RED,30827,Yes,4.3,2026-08-19,A
34,A-129,176785,2025,Toyota,Tundra,SR5,GRAY,4491,Yes,4.5,2026-08-19,A
34,A-143,177690,2020,GMC,Sierra 1500,DENALI,BLACK,80159,Yes,4.0,2026-08-19,A
30,A-173,178193,2021,Mercedes-Benz,GLE,580 4MATIC,BLACK,68475,Yes,4.5,2026-08-19,A
25,A-301,178423,2025,Kia,Telluride,EX X-LINE,WHITE,33159,Yes,"",2026-08-19,A
31,A-303,178426,2026,Cadillac,Escalade,PLATINU,BLACK,2307,Yes,4.8,2026-08-19,A
9,A-309,177591,2016,Nissan,Murano,PLATINUM,BLACK,117090,No,"",2026-08-19,A
7,A-321.3,178612,2020,Ford,S/D C/C,"",WHITE,59029,No,"",2026-08-19,A
24,A-343,177304,2018,Lincoln,MKZ,Premiere,BLACK,91510,Yes,"",2026-08-19,A
24,A-346,177290,2014,Cadillac,SRX,LUXURY COLLECTIO,BLACK,90555,Yes,"",2026-08-19,A
24,A-349,174998,2022,Mazda,CX-9,Touring,RED,93345,Yes,"",2026-08-19,A
37,A-351,175001,2019,Honda,HR-V,EX-L,BROWN,40418,Yes,3.0,2026-08-19,A
24,B-066,177640,2021,Land Rover,Discovery Sport,S,GRAY,58631,Yes,"",2026-08-19,B
36,B-074,174426,2023,Chevrolet,Suburban,LT,BLACK,122218,Yes,4.2,2026-08-19,B
24,B-105.2,167508,2026,Mercedes-Benz,GLC,"",BLACK,3419,Yes,4.7,2026-08-19,B
6,B-143,178763,2013,Volvo,XC60,3.2L,BEIGE,68038,No,"",2026-08-19,B
36,B-208,177757,2021,Land Rover,Range Rover,"",BLACK,63812,Yes,3.8,2026-08-19,B
23,B-218,174245,2023,BMW,M8,Competition,OTHER,11695,Yes,"",2026-08-19,B
43,B-245.2,178578,2020,Toyota,RAV4,Limited,SILVER,107707,Yes,3.2,2026-08-19,B
34,B-245.3,178576,2025,Toyota,Tacoma,SR5,BLACK,11650,Yes,3.8,2026-08-19,B
7,B-299,177267,2018,Land Rover,Range Rover Sport,SE,WHITE,90980,No,"",2026-08-19,B
27,B-311,178332,2025,Cadillac,Escalade,ESV PRE,WHITE,10204,Yes,4.8,2026-08-19,B
26,B-362,176757,2026,Subaru,Forester,TOURING,RED,3912,Yes,4.9,2026-08-19,B
36,B-400,178501,2013,Mazda,CX-5,Grand Touring,SILVER,113265,Yes,2.9,2026-08-19,B
24,C-138,173309,2015,GMC,Terrain,SLT,WHITE,113596,Yes,"",2026-08-19,C
31,C-143,178160,2021,Lexus,GX 460,PREMIUM,SILVER,88209,Yes,3.8,2026-08-19,C
28,C-209,177825,2025,Acura,MDX,W/A-SPEC PACKAGE,BLUE,30616,Yes,4.6,2026-08-19,C
7,C-241,178249,2018,Kia,Optima,LX,GRAY,112344,No,"",2026-08-19,C
53,C-289,178051,2017,Honda,Civic,HATCHBACK LX,SILVER,103586,Yes,2.2,2026-08-19,C
30,C-353,176969,2022,Kia,Seltos,S,WHITE,17565,Yes,4.7,2026-08-19,C
32,C-356,177682,2024,Kia,Telluride,SX X-LINE,BLUE,86919,Yes,4.4,2026-08-19,C
29,D-063,175527,2025,Subaru,Forester,TOURING,GREEN,13611,Yes,4.5,2026-08-19,D
35,D-241,159836,2015,Porsche,Panamera,4DR HB,SILVER,43558,Yes,3.1,2026-08-19,D
25,D-247,177714,2024,Mercedes-Benz,GLB,250 GLB 250 SUV,BLACK,6440,Yes,4.5,2026-08-19,D
25,D-248,177818,2016,Mercedes-Benz,GLC,300 4MATIC,GRAY,80782,Yes,"",2026-08-19,D
24,D-286,176143,2017,Nissan,Rogue,SL,RED,76209,Yes,"",2026-08-19,D
24,D-291,172492,2018,Nissan,Rogue,SV,SILVER,95912,Yes,"",2026-08-19,D
37,F-001,170223,2024,INFINITI,Q50,Luxe,BLUE,16097,Yes,4.2,2026-08-19,F
36,F-003,174191,2022,Mercedes-Benz,E-Class,"",WHITE,38390,Yes,3.4,2026-08-19,F
45,F-029,174591,2022,Ford,Escape,SEL HYBRID,GRAY,31511,Yes,1.8,2026-08-19,F
33,T-002,84576,2025,Cadillac,Escalade IQ,Sport 2,SILVER,11293,Yes,4.9,2026-08-19,T
30,T-007,158769,2025,BMW,4-Series,430i xDrive,WHITE,9206,Yes,4.4,2026-08-19,T
33,Z-001,177188,2023,GMC,Sierra 1500,SLT,GRAY,65961,Yes,4.0,2026-08-19,Z
33,Z-002,173798,2017,GMC,Yukon,Denali,GRAY,136458,Yes,2.6,2026-08-19,Z
10,Z-006,175902,2007,Honda,Accord,SDN EX,GOLD,119369,No,"",2026-08-19,Z
8,Z-011,174961,2012,BMW,X3,28I,BLUE,115102,No,"",2026-08-19,Z
24,Z-012,178457,2016,Chevrolet,Traverse,LT,BLACK,1,Yes,"",2026-08-19,Z
