Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
9,A-526,319782,2016,INFINITI,Q50,"",WHITE,80032,No,"",2026-07-27,A
8,A-538,319878,2013,Cadillac,ATS,LUXURY,RED,162174,No,"",2026-07-27,A
8,A-539,319895,2019,Chevrolet,Traverse,"",GRAY,115415,No,"",2026-07-27,A
7,A-541,316776,2017,Mini,Cooper,"",BLUE,101372,No,"",2026-07-27,A
9,A-544.4,317648,2012,Chevrolet,Cruze,"",SILVER,140364,No,"",2026-07-27,A
8,A-544.6,319029,2014,Honda,Insight,"",WHITE,293944,No,"",2026-07-27,A
29,A-548,315467,2013,Honda,CR-V,LX,WHITE,205593,Yes,4.0,2026-07-27,A
8,B-525,320038,2018,Ford,Escape,"",SILVER,84651,No,"",2026-07-27,B
7,B-544,319596,2009,GMC,Sierra 1500,SLE,BLACK,219417,No,"",2026-07-27,B
8,B-566,319686,2014,Chevrolet,Silverado 1500,"",BLACK,191940,No,"",2026-07-27,B
6,B-801,319760,2013,Chrysler,Town & Country,TOURI,BURGUNDY,145119,No,"",2026-07-27,B
8,B-853,319653,2017,Nissan,Rogue,"",WHITE,152477,No,"",2026-07-27,B
8,I-011,319654,2015,Ford,Transit Connect,"",WHITE,236969,No,"",2026-07-27,I
