Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
10,A-335,175902,2007,Honda,Accord,SDN EX,GOLD,119369,No,"",2026-08-05,A
8,A-346,174961,2012,BMW,X3,28I,BLUE,115102,No,"",2026-08-05,A
24,A-368,174998,2022,Mazda,CX-9,Touring,RED,93345,Yes,"",2026-08-05,A
37,A-369,175001,2019,Honda,HR-V,EX-L,BROWN,40418,Yes,3.0,2026-08-05,A
36,B-074,174426,2023,Chevrolet,Suburban,LT,BLACK,122218,Yes,4.2,2026-08-05,B
23,B-218,174245,2023,BMW,M8,Competition,OTHER,11695,Yes,"",2026-08-05,B
24,C-138,173309,2015,GMC,Terrain,SLT,WHITE,113596,Yes,"",2026-08-05,C
29,D-063,175527,2025,Subaru,Forester,TOURING,GREEN,13611,Yes,4.5,2026-08-05,D
24,D-270,176143,2017,Nissan,Rogue,SL,RED,76209,Yes,"",2026-08-05,D
24,D-291,172492,2018,Nissan,Rogue,SV,SILVER,95912,Yes,"",2026-08-05,D
37,F-002,170223,2024,INFINITI,Q50,Luxe,BLUE,16097,Yes,4.2,2026-08-05,F
33,T-002,84576,2025,Cadillac,Escalade IQ,Sport 2,SILVER,11293,Yes,4.9,2026-08-05,T
24,T-004,167508,2026,Mercedes-Benz,GLC,"",BLACK,3419,Yes,4.7,2026-08-05,T
30,T-007,158769,2025,BMW,4-Series,430i xDrive,WHITE,9206,Yes,4.4,2026-08-05,T
35,T-009,159836,2015,Porsche,Panamera,4DR HB,SILVER,43558,Yes,3.1,2026-08-05,T
33,Z-002,173798,2017,GMC,Yukon,Denali,GRAY,136458,Yes,2.6,2026-08-05,Z
