Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
46,R-086,559292,2018,Ford,F150,XL,SILVER,146908,Yes,2.3,2026-08-06,R
35,R-087,545027,2024,Ram,1500 ProMaster Vans,"",WHITE,51434,Yes,2.7,2026-08-06,R
31,R-090,557211,2019,Ford,SUPER DUTY,"",WHITE,144903,Yes,4.0,2026-08-06,R
58,R-091,554733,2017,Dodge,Journey,CROSSROAD PL,GRAY,119003,Yes,2.2,2026-08-06,R
23,R-093,541548,2020,Ford,F150,XLT,RED,91489,No,"",2026-08-06,R
40,R-094,545028,2023,Ford,F150,XLT,GRAY,25941,Yes,4.4,2026-08-06,R
53,R-095,552834,2021,Nissan,Altima,2.5 SR,GRAY,121064,Yes,1.3,2026-08-06,R
9,R-096,554138,2015,Volkswagen,Beetle,1.8T,"",130132,No,"",2026-08-06,R
43,R-125.1,545029,2019,Toyota,Tacoma,TRD SPORT,GRAY,130120,Yes,2.3,2026-08-06,R
46,R-125.2,545046,2021,Ford,Ranger,XLT,WHITE,107916,Yes,1.8,2026-08-06,R
