Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
26,AA-0050,256962,2016,Hyundai,Sonata,Hybrid SE,GRAY,163237,Yes,4.1,2026-07-30,AA
25,AA-0128,257656,2017,Buick,Cascada,Premium,BLACK,83197,Yes,4.1,2026-07-30,AA
22,AA-0287,258428,2021,Jeep,Grand Cherokee,SRT,BLACK,64408,Yes,2.6,2026-07-30,AA
22,BB-0110,257662,2023,Land Rover,Range Rover,Autobiography,GRAY,8163,Yes,4.7,2026-07-30,BB
25,C-0021,256502,2019,Ram,1500 DS,Tradesman,GRAY,141589,Yes,2.8,2026-07-30,C
23,C-0026,257940,2025,Chevrolet,Trax,LS,WHITE,36833,Yes,4.3,2026-07-30,C
