Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
17,FM-0012,732226,2019,BMW,X3,sDrive30i,WHITE,125381,Yes,"",2026-08-26,FM,7900.0
17,FM-0072,732232,2020,Buick,Enclave,Essence,GRAY,113843,Yes,"",2026-08-26,FM,10000.0
17,FM-0074,732233,2021,Cadillac,Escalade,Premium Luxury,GRAY,114155,Yes,"",2026-08-26,FM,33000.0
17,FM-0063,732030,2014,Cadillac,SRX,Luxury Collection,BLACK,136623,Yes,"",2026-08-26,FM,3900.0
16,FM-0118,731975,2011,Chevrolet,Camaro,2LT,RED,132748,Yes,"",2026-08-26,FM,2500.0
16,FM-0067,732229,2013,Chevrolet,Equinox,LS,GRAY,179341,Yes,"",2026-08-26,FM,1200.0
17,FM-0001,732140,2017,Chevrolet,Impala,Premier,BLACK,139438,Yes,"",2026-08-26,FM,3700.0
16,FM-0062,732143,2008,Chevrolet,Impala,Police,WHITE,136750,Yes,"",2026-08-26,FM,500.0
18,FM-0120,732035,2020,Chevrolet,Silverado 2500,2500HD Custom,WHITE,108610,No,"",2026-08-26,FM,24500.0
18,FM-0003,730874,2016,Chevrolet,Suburban,LT,BLACK,148628,Yes,"",2026-08-26,FM,8100.0
16,FM-0111,731969,2008,Chevrolet,Trailblazer,LT w/1LT,GOLD,93340,Yes,"",2026-08-26,FM,2500.0
17,FM-0135,732284,2018,Ford,Edge,Titanium,RED,162338,Yes,"",2026-08-26,FM,4300.0
18,FM-0008,732224,2013,Ford,Escape,SE,WHITE,190809,Yes,"",2026-08-26,FM,700.0
17,FM-0075,732261,2018,Ford,Explorer,Limited,GRAY,184675,Yes,"",2026-08-26,FM,4800.0
16,FM-0134,732283,2019,Ford,F150,Lariat,BLACK,172296,Yes,"",2026-08-26,FM,9500.0
17,FM-0005,732218,2019,Ford,F150,XLT,RED,158161,Yes,"",2026-08-26,FM,11000.0
17,FM-0065,732033,2017,Ford,F150,XL,WHITE,124887,Yes,"",2026-08-26,FM,17200.0
17,FM-0151,732294,2011,Ford,Fiesta,SE,RED,295800,Yes,"",2026-08-26,FM,300.0
19,FM-0077,732145,2020,Ford,Mustang,GT Premium Convertible,WHITE,82291,Yes,"",2026-08-26,FM,21200.0
18,FM-0082,732266,2015,Ford,Mustang,EcoBoost Premium,RED,74008,Yes,"",2026-08-26,FM,8100.0
17,FM-0130,732251,2015,Ford,Mustang,GT Premium,WHITE,146252,Yes,"",2026-08-26,FM,9400.0
16,FM-0073,732031,2017,Ford,Transit Connect,Van XL,WHITE,95555,Yes,"",2026-08-26,FM,5200.0
17,FM-0068,732230,2018,GMC,Canyon,SLT,SILVER,61247,Yes,"",2026-08-26,FM,19300.0
17,FM-0064,732032,2017,GMC,Sierra 1500,SLT,BLACK,108535,Yes,"",2026-08-26,FM,12600.0
16,FM-0078,732259,2023,GMC,Terrain,Denali,RED,48084,Yes,"",2026-08-26,FM,23000.0
16,FM-0081,732263,2012,GMC,Terrain,SLE-1,RED,54439,Yes,"",2026-08-26,FM,2900.0
18,FM-0061,732142,2016,GMC,Yukon,Denali,RED,176340,Yes,"",2026-08-26,FM,2000.0
18,FM-0069,732231,2018,GMC,Yukon XL,Denali,WHITE,87415,Yes,"",2026-08-26,FM,20800.0
16,FM-0153,732296,2012,Honda,CR-V,EX,WHITE,125705,Yes,"",2026-08-26,FM,6500.0
17,FM-0066,732227,2010,Honda,CR-V,LX,BLUE,102285,Yes,"",2026-08-26,FM,4200.0
17,FM-0004,732215,2016,Hyundai,Santa Fe Sport,4dr 2.0T,WHITE,138676,Yes,"",2026-08-26,FM,3400.0
17,FM-0121,732138,1983,Jeep,CJ-7,CJ7,ORANGE,160002,Yes,"",2026-08-26,FM,3500.0
17,FM-0119,732034,2020,Jeep,Renegade,Trailhawk,RED,86469,Yes,"",2026-08-26,FM,10800.0
17,FM-0076,732144,2019,Jeep,Renegade,Latitude,RED,81500,Yes,"",2026-08-26,FM,8400.0
17,FM-0122,732234,2015,Jeep,Renegade,Latitude,BLACK,70064,Yes,"",2026-08-26,FM,5700.0
18,FM-0131,732257,2005,Lexus,SC 430,2dr Convertible,WHITE,183009,Yes,"",2026-08-26,FM,3100.0
17,FM-0071,731967,2021,Lincoln,Navigator,Reserve,BLACK,85184,Yes,"",2026-08-26,FM,28500.0
17,FM-0117,731827,2007,Mercedes-Benz,CLK Class,3.5L,GRAY,134308,Yes,"",2026-08-26,FM,1000.0
17,FM-0007,732223,2018,Mini,Cooper Countryman,Cooper,BLUE,173884,Yes,"",2026-08-26,FM,2100.0
17,FM-0157,732306,2004,Mitsubishi,Endeavor,Limited,WHITE,110491,Yes,"",2026-08-26,FM,500.0
17,FM-0113,731971,2016,Nissan,Maxima,3.5 SV,BLUE,107407,Yes,"",2026-08-26,FM,1500.0
17,FM-0002,732141,2018,Nissan,Murano,SL,BLACK,135037,Yes,"",2026-08-26,FM,7100.0
17,FM-0132,732252,2022,Nissan,Rogue,SV,WHITE,94517,Yes,"",2026-08-26,FM,9000.0
17,FM-0070,731965,2021,Toyota,Corolla,SE,GRAY,74262,Yes,"",2026-08-26,FM,11200.0
17,FM-0110,731966,2019,Toyota,Corolla,LE,WHITE,208605,Yes,"",2026-08-26,FM,3700.0
