Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
39,C-332,173975,2021,Acura,ILX,W/PREMIUM PACKAG,BLACK,55656,Yes,2.1,2026-07-29,C,17200.0
9,C-341,174005,2018,Acura,ILX,W/PREMIUM/A-SPEC,BLACK,148474,No,"",2026-07-29,C,7300.0
7,C-008,174158,2017,Acura,ILX,SEDAN,WHITE,170646,No,"",2026-07-29,C,4300.0
33,A-004,174460,2017,Acura,ILX,W/PREMIUM PKG,GRAY,115565,Yes,4.2,2026-07-29,A,10600.0
0,X-016,174449,2025,Acura,Integra,W/A-SPEC PAC,GRAY,34019,No,"",2026-07-29,X,25100.0
23,A-129,172837,2024,Acura,Integra,CVT,WHITE,49200,Yes,"",2026-07-29,A,18200.0
32,B-423,174777,2024,Acura,Integra,W/A-SPEC PAC,GRAY,40051,Yes,2.7,2026-07-29,B,23600.0
26,B-417,173635,2024,Acura,Integra,W/A-SPEC PAC,BLACK,38046,Yes,4.8,2026-07-29,B,25400.0
31,C-339,173987,2023,Acura,Integra,W/A-SPEC PAC,BLACK,30551,Yes,3.8,2026-07-29,C,25000.0
28,C-342,174008,2023,Acura,Integra,W/A-SPEC TEC,RED,28824,Yes,4.2,2026-07-29,C,25000.0
27,D-133.5,174568,2025,Acura,MDX,W/TECHNOLOGY PAC,WHITE,23483,Yes,4.4,2026-07-29,D,40800.0
0,X-021,174654,2024,Acura,MDX,"",BLACK,23487,No,"",2026-07-29,X,35300.0
24,C-334,173979,2024,Acura,MDX,"",WHITE,20560,Yes,4.8,2026-07-29,C,35800.0
33,D-035,172064,2024,Acura,MDX,"",WHITE,49763,Yes,4.0,2026-07-29,D,31000.0
25,C-327,172198,2023,Acura,MDX,"",WHITE,29285,Yes,4.8,2026-07-29,C,35800.0
31,D-086,173743,2023,Acura,MDX,SH-,BLUE,25885,Yes,3.2,2026-07-29,D,32000.0
29,A-249,172790,2023,Acura,MDX,W/TECHNOLOGY PAC,WHITE,34707,Yes,4.1,2026-07-29,A,34600.0
31,D-031,173548,2023,Acura,MDX,W/TECHNOLOGY PAC,SILVER,37098,Yes,3.3,2026-07-29,D,32800.0
30,C-343,174016,2023,Acura,MDX,W/TECHNOLOGY PAC,BLACK,41847,Yes,3.4,2026-07-29,C,31600.0
7,C-329,173970,2020,Acura,MDX,W/TECHNOLOGY PKG,BLACK,122948,No,"",2026-07-29,C,14900.0
0,W-011,174262,2019,Acura,MDX,W/TECHNOLOGY/A-S,GRAY,88932,No,"",2026-07-29,W,19800.0
25,B-103,174362,2017,Acura,MDX,W/TECHNOLOGY PKG,WHITE,114762,Yes,"",2026-07-29,B,9200.0
25,A-378,168418,2010,Acura,MDX,TECHNOLOGY/ENTER,BROWN,169223,Yes,"",2026-07-29,A,1900.0
25,C-346,174112,2025,Acura,RDX,SH-,BLACK,9777,Yes,4.6,2026-07-29,C,36000.0
28,X-019,174022,2025,Acura,RDX,W/TECHNOLOGY PAC,GRAY,17468,Yes,4.6,2026-07-29,X,37400.0
0,X-017,174607,2025,Acura,RDX,W/TECHNOLOGY PAC,GRAY,17769,No,"",2026-07-29,X,37200.0
29,W-003,172830,2024,Acura,RDX,W/A-SPEC ADVANCE,SILVER,14852,Yes,4.9,2026-07-29,W,38500.0
31,C-330,172554,2024,Acura,RDX,W/ADVANCE PACKAG,BLACK,15035,Yes,4.5,2026-07-29,C,37400.0
32,D-128,172898,2023,Acura,RDX,W/TECHNOLOGY PAC,WHITE,64104,Yes,4.3,2026-07-29,D,25400.0
28,B-061,173880,2021,Acura,RDX,"",SILVER,25340,Yes,4.7,2026-07-29,B,28400.0
9,C-340,174000,2016,Acura,RDX,TECH PKG,BLACK,127281,No,"",2026-07-29,C,6700.0
8,C-331,173974,2013,Acura,RDX,TECH PKG,GRAY,164920,No,"",2026-07-29,C,3400.0
1,A-115.3,174798,2019,Acura,TLX,W/A-SPEC PKG,RED,68572,Yes,3.3,2026-07-29,A,19800.0
7,C-201,173951,2006,Acura,TSX,NAVI,WHITE,199900,No,"",2026-07-29,C,1300.0
33,A-051,173486,2022,Alfa Romeo,Giulia,Ti,WHITE,69676,Yes,3.7,2026-07-29,A,16000.0
49,C-264,171988,2019,Alfa Romeo,Giulia,"",WHITE,88849,Yes,2.1,2026-07-29,C,5200.0
7,C-402,173695,2018,Audi,A3,SEDAN PREMIUM,BLUE,82971,No,"",2026-07-29,C,7300.0
8,B-062,173883,2018,Audi,A3,SEDAN PREMIUM PLU,BLACK,131374,No,"",2026-07-29,B,5400.0
0,Y-024,174740,2023,Audi,A4,SEDAN PREMIUM PLU,WHITE,9091,No,"",2026-07-29,Y,26300.0
31,C-288,173409,2023,Audi,A4,SEDAN S LINE PREM,BLACK,61582,Yes,2.5,2026-07-29,C,18000.0
39,F-032,168570,2023,Audi,A5,SPORTBACK PREMIUM,BLACK,82075,Yes,2.8,2026-07-29,F,13600.0
24,B-012,174736,2016,Audi,A5,Premium Plus,GRAY,67547,Yes,"",2026-07-29,B,1500.0
32,C-395,172224,2021,Audi,A6,PREMIUM PLUS,BLACK,65126,Yes,4.1,2026-07-29,C,18600.0
29,D-142,174269,2020,Audi,A6,Premium Plus,WHITE,86495,Yes,4.5,2026-07-29,D,16000.0
28,C-022,173794,2016,Audi,A6,2.0T PREMIUM,WHITE,121305,Yes,4.0,2026-07-29,C,6400.0
23,A-228,171942,2016,Audi,Q3,Prestige,GRAY,55409,Yes,"",2026-07-29,A,8300.0
7,A-293,173916,2018,Audi,Q3 PREMIUM,"",GRAY,132947,No,"",2026-07-29,A,6000.0
26,C-135,174169,2019,Audi,Q5,Premium,SILVER,65983,Yes,4.6,2026-07-29,C,14400.0
25,O-001,172344,2019,Audi,Q5,Premium Plus,GRAY,64447,Yes,4.6,2026-07-29,O,14000.0
28,A-226,174759,2019,Audi,Q5,Premium Plus,WHITE,44932,Yes,4.5,2026-07-29,A,15000.0
26,C-142,174192,2018,Audi,Q5,Premium Plus,BLACK,39909,Yes,4.5,2026-07-29,C,17200.0
30,C-385,173677,2018,Audi,Q5,Premium Plus,GRAY,78024,Yes,4.3,2026-07-29,C,11600.0
0,Y-010,174281,2023,Audi,Q5 S-Line,"",BLACK,30389,No,"",2026-07-29,Y,29000.0
0,Y-021,174735,2023,Audi,Q5 S-Line,PREMIUM,WHITE,8715,No,"",2026-07-29,Y,26800.0
35,B-440,174083,2022,Audi,Q5 S-Line,"",SILVER,84955,Yes,4.4,2026-07-29,B,18600.0
37,B-411,174785,2019,Audi,Q7,"",BLACK,129875,Yes,3.8,2026-07-29,B,7700.0
36,F-045,170624,2015,Audi,Q7,"",BLACK,141844,Yes,2.8,2026-07-29,F,3200.0
25,B-439,174081,2023,Audi,Q8,PREMIUM PLUS,BLACK,60489,Yes,4.6,2026-07-29,B,33500.0
28,O-003,173015,2023,Audi,Q8,PREMIUM PLUS,BLACK,26625,Yes,3.4,2026-07-29,O,38000.0
27,D-103,173914,2023,Audi,Q8,PREMIUM PLUS,BLACK,29449,Yes,4.6,2026-07-29,D,40000.0
27,D-256,173660,2019,Audi,S5,CABRIOLET PRESTIG,BLACK,10146,Yes,4.6,2026-07-29,D,33800.0
0,Y-022,174737,2023,Audi,SQ5,Premium Plus,GRAY,24373,No,"",2026-07-29,Y,38900.0
29,D-133.3,174557,2025,Audi,SQ6 e-tron,Prestige,GRAY,11737,Yes,4.2,2026-07-29,D,53500.0
27,C-058,173829,2020,BMW,2-Series,228I XDRIVE,GRAY,94529,Yes,4.6,2026-07-29,C,12600.0
35,D-133.1,174469,2020,BMW,2-Series,228I XDRIVE,GRAY,58904,Yes,3.2,2026-07-29,D,15800.0
24,O-005,172181,2024,BMW,3-Series,330i,WHITE,34824,Yes,4.7,2026-07-29,O,28400.0
8,A-358,174532,2020,BMW,3-Series,330i,BLACK,38097,No,"",2026-07-29,A,19000.0
7,A-021,174710,2006,BMW,3-Series,325i,BLUE,162089,No,"",2026-07-29,A,600.0
7,C-396,173682,2016,BMW,4-Series,428I,WHITE,133815,No,"",2026-07-29,C,6200.0
39,C-115,173139,2026,BMW,5-Series,530i,BLACK,21413,Yes,4.0,2026-07-29,C,39000.0
7,D-057,173025,2023,BMW,5-Series,530I XDRIVE,BLUE,44386,No,"",2026-07-29,D,31000.0
30,C-249,173957,2020,BMW,5-Series,530i,BLUE,86863,Yes,4.3,2026-07-29,C,14000.0
23,B-381,171788,2016,BMW,5-Series,528I XDRIVE,BLACK,85331,Yes,"",2026-07-29,B,3900.0
6,C-146.1,174682,2014,BMW,5-Series,535i,BLACK,162384,No,"",2026-07-29,C,3100.0
31,D-232,173813,2018,BMW,6 SERIES 650I XDRIVE,"",WHITE,64770,Yes,3.7,2026-07-29,D,22200.0
35,D-280,173844,2022,BMW,7-Series,740i,GRAY,61781,Yes,3.9,2026-07-29,D,33000.0
27,A-367.2,174562,2022,BMW,8-Series,M850I XDRIV,BLACK,57482,Yes,4.7,2026-07-29,A,39800.0
27,D-259,173663,2021,BMW,8-Series,840I,BLACK,32602,Yes,4.5,2026-07-29,D,40800.0
27,D-263,174641,2021,BMW,8-Series,840I,GRAY,68394,Yes,4.5,2026-07-29,D,32800.0
27,B-105,171597,2024,BMW,i5,M60,GRAY,24109,Yes,4.3,2026-07-29,B,49500.0
31,A-245,174746,2024,BMW,M4,COMPETITION XDRIV,BLACK,29153,Yes,4.6,2026-07-29,A,75000.0
35,D-129,174042,2018,BMW,X1,sDrive28i,BLACK,87373,Yes,3.2,2026-07-29,D,7800.0
44,F-026,171877,2016,BMW,X1,XDrive28i,BROWN,78026,Yes,2.6,2026-07-29,F,6600.0
23,A-124,172640,2015,BMW,X1,sDrive28i,SILVER,119771,Yes,"",2026-07-29,A,3000.0
41,C-025,172577,2015,BMW,X1,sDrive28i,BROWN,107528,Yes,3.6,2026-07-29,C,1900.0
0,O-007,173516,2023,BMW,X3,M SPORTS ACTIVITY,GRAY,38379,No,"",2026-07-29,O,58500.0
7,B-040.3,173815,2020,BMW,X3,sDrive30i,BLACK,130084,No,"",2026-07-29,B,4600.0
7,B-304,173570,2016,BMW,X3,XDrive28i,WHITE,70189,No,"",2026-07-29,B,10600.0
34,D-227,173770,2018,BMW,X5,sDrive35i,WHITE,98373,Yes,3.7,2026-07-29,D,10800.0
37,D-132.7,174451,2017,BMW,X5,sDrive35i,WHITE,95263,Yes,4.0,2026-07-29,D,8600.0
